"","id","wave","w2val006b","w2rit002"
"217","193","b",3,2
"218","193","c",3,2
"219","194","b",3,1
"220","195","b",3,5
"221","196","b",3,3
"222","196","c",2,3
"223","197","b",3,6
"224","197","c",3,5
"225","198","b",3,3
"226","198","c",3,2
"227","199","b",3,2
"228","199","c",4,1
"229","200","b",3,2
"230","201","b",3,2
"231","201","c",4,2
"232","202","b",3,9
"233","202","c",3,5
"234","203","b",3,3
"235","203","c",3,3
"236","204","b",3,2
"237","204","c",3,2
"238","205","b",3,3
"239","206","b",3,3
"240","206","c",1,2
"241","207","b",3,2
"242","207","c",3,2
"243","208","b",4,4
"244","208","c",3,3
"245","209","b",4,5
"246","210","b",4,3
"247","210","c",3,3
"248","211","b",4,2
"249","211","c",2,2
"250","212","b",4,4
"251","212","c",4,2
"252","213","b",4,1
"253","213","c",3,1
"254","214","b",4,1
"255","214","c",2,1
"256","215","b",4,6
"257","216","b",4,3
"258","217","b",4,2
"259","218","b",4,2
"260","218","c",2,3
"261","219","b",4,2
"262","219","c",3,2
"263","220","b",4,7
"264","220","c",5,4
"265","221","c",2,1
"266","225","c",1,5
"267","226","c",2,5
"268","227","c",4,4
"269","231","c",2,1
"270","235","c",5,4
"271","237","c",3,3
"272","241","c",2,4
"273","245","c",2,3
"274","248","c",3,2
"275","261","c",2,5
"276","264","c",2,3
"277","265","c",2,3
"278","266","c",2,2
"279","269","c",4,4
"280","270","c",3,3
"281","272","c",1,7
"282","273","c",4,3
"283","276","c",2,3
"284","284","c",3,2
"285","285","c",2,3
"286","287","c",2,3
"287","289","c",3,2
"288","294","c",1,2
"289","297","c",3,3
"290","299","c",2,2
"291","301","c",2,2
"292","302","c",2,2
"293","307","c",2,2
"294","308","c",1,1
"295","313","c",2,2
"296","314","c",3,2
"297","315","c",3,2
"298","321","c",2,2
"299","323","c",2,2
"300","326","c",4,2
"301","327","c",3,1
"302","334","c",2,2
"303","340","c",2,3
"304","348","c",1,2
"305","349","c",3,2
"306","359","c",2,2
"307","374","c",1,5
"308","376","c",2,1
"309","379","c",4,3
"310","382","c",2,3
"311","387","c",2,4
"312","389","c",2,3
"313","392","c",1,4
"314","396","c",3,4
"315","398","c",3,3
"316","399","c",2,1
"317","400","c",2,2
"318","401","c",2,3
"319","403","c",4,2
"320","405","c",2,2
"321","407","c",3,4
"322","412","c",2,2
"323","415","c",2,3
"324","418","c",1,2
"325","419","c",1,3
"326","423","c",2,3
"327","424","c",3,3
"328","425","c",4,2
"329","429","c",1,2
"330","440","c",2,4
"331","441","c",2,2
"332","447","c",2,2
"333","450","c",1,1
"334","454","c",2,3
"335","456","c",2,3
"336","462","c",2,5
"337","464","c",2,2
"338","467","c",2,2
"339","473","c",4,2
"340","474","c",1,2
"341","475","c",2,2
"342","481","c",2,2
"343","483","c",3,2
"344","491","c",3,3
"345","500","c",4,3
"346","509","c",3,2
"347","520","c",1,2
"348","531","c",4,5
"349","532","c",1,1
"350","535","c",2,3
"351","548","c",3,2
"352","552","c",1,3
"353","558","c",2,1
"354","559","c",2,1
"355","562","c",4,1
"356","563","c",2,2
"357","568","c",3,3
"358","577","c",3,1
"359","579","c",1,4
"360","592","c",1,4
"361","599","c",2,3
"362","601","c",2,3
"363","610","c",2,2
"364","611","c",3,7
"365","616","c",3,7
"366","618","c",4,6
"367","620","c",1,6
"368","625","c",2,5
"369","632","c",5,3
"370","633","c",2,2
"371","634","c",1,5
"372","635","c",1,5
"373","637","c",3,5
"374","641","c",2,5
"375","646","c",1,2
"376","647","c",3,3
"377","650","c",4,4
"378","651","c",3,3
"379","654","c",3,2
"380","658","c",1,4
"381","663","c",1,4
"382","667","c",2,1
"383","670","c",4,3
"384","671","c",4,4
"385","673","c",3,2
"386","683","c",2,4
"387","684","c",2,1
"388","688","c",3,3
"389","700","c",3,3
"390","703","c",2,3
"391","704","c",1,2
"392","705","c",4,3
"393","706","c",2,3
"394","708","c",2,3
"395","709","c",4,3
"396","710","c",3,3
"397","713","c",2,3
"398","714","c",1,3
"399","721","c",4,3
"400","724","c",2,3
"401","725","c",2,3
"402","726","c",2,5
"403","727","c",1,3
"404","730","c",1,3
"405","732","c",1,3
"406","733","c",3,4
"407","735","c",3,3
"408","736","c",2,2
"409","739","c",4,3
"410","741","c",2,3
"411","742","c",3,3
"412","744","c",4,3
"413","748","c",1,3
"414","749","c",4,3
"415","752","c",3,3
"416","764","c",5,2
"417","766","c",2,1
"418","772","c",1,1
"419","773","c",2,3
"420","783","c",4,2
"421","784","c",3,2
"422","785","c",3,4
"423","786","c",4,2
"424","788","c",5,4
"425","794","c",4,5
"426","796","c",4,5
"427","797","c",2,2
"428","798","c",2,5
"429","799","c",3,2
"430","803","c",2,2
"431","805","c",4,2
"432","806","c",2,3
"433","809","c",3,2
"434","812","c",2,2
"435","813","c",2,3
"436","814","c",2,5
"437","821","c",2,3
"438","825","c",2,3
"439","830","c",4,2
"440","833","c",3,2
"441","835","c",2,2
"442","836","c",3,3
"443","838","c",2,2
"444","840","c",3,2
"445","842","c",1,1
"446","844","c",3,2
"447","847","c",2,2
"448","849","c",2,2
"449","855","c",1,5
"450","857","c",2,1
"451","860","c",1,1
"452","864","c",4,1
"453","865","c",3,4
"454","868","c",2,4
"455","869","c",2,1
"456","877","c",2,1
"457","878","c",3,1
"458","880","c",3,5
"459","881","c",2,2
"460","890","c",1,2
"461","892","c",2,3
"462","910","c",1,1
"463","912","c",3,3
"464","916","c",2,4
"465","918","c",2,3
"466","920","c",3,3
"467","927","c",2,3
"468","932","c",5,3
"469","933","c",1,2
"470","934","c",4,6
"471","936","c",2,2
"472","941","c",3,7
"473","948","c",1,1
"474","950","c",1,4
"475","951","c",4,2
"476","957","c",2,3
"477","964","c",1,1
"478","965","c",1,3
"479","969","c",2,4
"480","970","c",2,4
"481","972","c",2,2
"482","974","c",2,1
"483","979","c",4,2
"484","991","c",1,1
"485","995","c",2,4
"486","999","c",2,1
"487","1005","c",2,3
"488","1012","c",3,2
"489","1013","c",4,5
"490","1017","c",3,2
"491","1022","c",3,3
"492","1028","c",2,3
"493","1029","c",4,3
"494","1032","c",2,5
"495","1036","c",3,3
"496","1037","c",2,4
"497","1039","c",4,4
"498","1041","c",3,3
"499","1043","c",2,2
"500","1044","c",3,4
"501","1049","c",2,3
"502","1064","c",1,3
"503","1070","c",3,4
"504","1074","c",2,5
"505","1087","c",2,2
"506","1091","c",3,7
"507","1093","c",2,3
"508","1097","c",4,3
"509","1104","c",2,2
"510","1108","c",3,1
"511","1109","c",3,3
"512","1117","c",1,2
"513","1132","c",2,1
"514","1146","c",2,3
"515","1154","c",2,4
"516","1163","c",3,4
"517","1171","c",2,2
"518","1182","c",2,1
"519","1183","c",2,2
"520","1186","c",2,3
"521","1192","c",2,4
"522","1198","c",4,4
"523","1199","c",5,4
"524","1219","c",2,2
"525","1222","c",3,3
"526","1234","c",1,5
"527","1250","c",4,3
"528","1254","c",2,4
"529","1257","c",2,2
"530","1260","c",3,4
"531","1269","c",2,2
"532","1272","c",2,2
"533","1276","c",3,3
"534","1277","c",4,2
"535","1289","c",2,2
"536","1290","c",1,4
"537","1304","c",2,2
"538","1328","c",5,2
"539","1329","c",2,2
"540","1338","c",2,3
"541","1342","c",2,6
"542","1343","c",4,3
"543","1346","c",4,4
"544","1347","c",1,3
"545","1348","c",2,3
"546","1350","c",2,4
"547","1351","c",1,2
"548","1352","c",2,1
"549","1353","c",3,2
"550","1354","c",1,3
"551","1355","c",4,2
"552","1357","c",5,5
"553","1359","c",3,2
"554","1371","c",1,4
"555","1375","c",2,2
"556","1381","c",2,3
"557","1382","c",3,2
"558","1397","c",4,2
"559","1409","c",3,6
"560","1411","c",2,2
"561","1417","c",3,3
"562","1425","c",2,2
"563","1427","c",2,3
"564","1430","c",3,3
"565","1431","c",4,1
"566","1432","c",1,2
"567","1433","c",3,3
"568","1436","c",2,3
"569","1441","c",3,2
"570","1443","c",2,1
"571","1444","c",3,7
"572","1450","c",2,2
"573","1453","c",4,4
"574","1457","c",2,3
"575","1462","c",2,2
"576","1466","c",3,1
"577","1467","c",2,2
"578","1470","c",2,5
"579","1480","c",2,1
"580","1483","c",3,3
"581","1495","c",5,2
"582","1499","c",1,2
"583","1504","c",3,3
"584","1511","c",1,3
"585","1515","c",3,5
"586","1517","c",2,2
"587","1519","c",4,3
"588","1526","c",2,4
"589","1528","c",1,3
"590","1535","c",2,3
"591","1539","c",4,2
"592","1540","c",2,3
"593","1541","c",3,1
"594","1542","c",5,2
"595","1544","c",1,3
"596","1547","c",2,3
"597","1549","c",3,3
"598","1555","c",4,3
"599","1557","c",3,2
"600","1559","c",2,4
"601","1560","c",2,3
"602","1562","c",4,2
"603","1564","c",1,2
"604","1566","c",2,3
"605","1574","c",5,7
"606","1576","c",3,4
"607","1577","c",3,4
"608","1589","c",2,4
"609","1595","c",4,2
"610","1597","c",1,2
"611","1598","c",3,3
"612","1599","c",3,3
"613","1606","c",2,3
"614","1613","c",3,3
"615","1614","c",2,4
"616","1617","c",3,4
"617","1621","c",1,2
"618","1624","c",3,3
"619","1626","c",3,3
"620","1629","c",2,3
"621","1634","c",5,2
"622","1640","c",1,2
"623","1642","c",2,2
"624","1643","c",2,3
"625","1654","c",1,5
"626","1658","c",4,3
"627","1668","c",4,3
"628","1682","c",2,2
"629","1683","c",2,2
"630","1684","c",3,3
"631","1688","c",3,4
"632","1689","c",3,2
"633","1701","c",2,2
"634","1710","c",4,4
"635","1715","c",2,2
"636","1717","c",4,4
"637","1719","c",4,5
"638","1720","c",4,2
"639","1731","c",2,3
"640","1732","c",3,4
"641","1740","c",2,2
"642","1752","c",1,3
"643","1760","c",4,3
"644","1772","c",3,3
"645","1773","c",2,2
"646","1774","c",2,2
"647","1785","c",2,3
"648","1788","c",2,2
"649","1792","c",4,3
"650","1799","c",3,6
"651","1806","c",2,3
"652","1812","c",4,4
"653","1816","c",4,3
"654","1825","c",4,3
"655","1843","c",2,3
"656","1844","c",2,3
"657","1850","c",2,2
"658","1853","c",2,3
"659","1867","c",4,3
"660","1868","c",1,2
"661","1869","c",2,4
"662","1870","c",2,3
"663","1884","c",2,4
"664","1888","c",1,5
"665","1891","c",3,3
"666","1900","c",3,3
"667","1916","c",4,5
"668","1920","c",3,3
"669","1922","c",3,3
"670","1930","c",2,4
"671","1933","c",3,4
"672","1943","c",1,2
"673","1977","c",4,4
"674","1984","c",2,1
"675","1989","c",2,5
"676","1993","c",1,4
"677","1996","c",2,3
"678","2009","c",4,3
"679","2012","c",5,2
"680","2018","c",2,3
"681","2031","c",1,3
"682","2032","c",3,1
"683","2035","c",4,7
"684","2036","c",4,2
"685","2037","c",3,3
"686","2044","c",2,3
"687","2048","c",4,1
"688","2055","c",2,3
"689","2060","c",1,3
"690","2065","c",2,2
"691","2090","c",1,4
"692","2091","c",3,5
"693","2094","c",2,2
"694","2097","c",1,6
"695","2101","c",3,3
"696","2107","c",2,3
"697","2113","c",4,3
"698","2129","c",4,4
"699","2138","c",2,4
"700","2147","c",2,6
"701","2151","c",2,2
"702","2152","c",2,3
"703","2161","c",3,3
"704","2162","c",2,2
"705","2168","c",2,2
"706","2175","c",2,1
"707","2185","c",3,5
"708","2188","c",1,3
"709","2193","c",4,5
"710","2204","c",2,2
"711","2210","c",1,2
"712","2214","c",2,1
"713","2216","c",2,4
"714","2232","c",3,3
"715","2238","c",5,1
"716","2258","c",4,3
"717","2274","c",2,3
"718","2275","c",2,4
"719","2276","c",3,2
"720","2279","c",5,7
"721","2283","c",2,2
"722","2294","c",2,2
"723","2299","c",1,3
"724","2322","c",5,6
"725","2333","c",2,4
"726","2339","c",2,3
"727","2344","c",3,3
"728","2346","c",1,1
"729","2353","c",2,2
"730","2358","c",3,4
"731","2360","c",3,6
"732","2364","c",3,2
"733","2369","c",3,1
"734","2370","c",3,3
"735","2376","c",2,3
"736","2381","c",2,3
"737","2389","c",2,2
"738","2394","c",3,3
"739","2423","c",4,1
"740","2426","c",5,3
"741","2430","c",1,1
"742","2432","c",2,1
"743","2436","c",2,2
"744","2444","c",5,2
"745","2445","c",4,3
"746","2446","c",2,3
"747","2452","c",5,3
"748","2455","c",1,2
"749","2457","c",4,2
"750","2459","c",2,2
"751","2468","c",2,3
"752","2470","c",4,5
"753","2477","c",1,2
"754","2481","c",4,1
"755","2485","c",2,3
"756","2487","c",2,2
"757","2490","c",2,3
"758","2493","c",2,4
"759","2500","c",2,2
"760","2501","c",1,4
"761","2507","c",2,3
"762","2511","c",2,4
"763","2520","c",1,3
"764","2529","c",3,2
"765","2530","c",3,1
"766","2558","c",1,5
"767","2561","c",3,3
"768","2573","c",2,4
"769","2590","c",2,3
"770","2593","c",3,4
"771","2594","c",4,4
"772","2595","c",2,4
"773","2599","c",3,2
"774","2603","c",4,6
"775","2625","c",1,2
"776","2627","c",3,3
"777","2635","c",5,4
"778","2636","c",4,3
"779","2638","c",1,2
"780","2644","c",3,4
"781","2649","c",3,4
"782","2661","c",4,2
"783","2663","c",5,3
"784","2664","c",2,2
"785","2682","c",4,5
"786","2686","c",2,2
"787","2690","c",4,2
"788","2706","c",3,3
"789","2710","c",2,3
"790","2726","c",2,2
"791","2733","c",2,2
"792","2735","c",3,3
"793","2736","c",2,2
"794","2738","c",2,5
"795","2746","c",1,2
"796","2747","c",1,3
"797","2750","c",1,3
"798","2758","c",2,3
"799","2765","c",4,3
"800","2773","c",2,2
"801","2776","c",2,3
"802","2777","c",1,1
"803","2783","c",2,3
"804","2784","c",2,3
"805","2787","c",5,7
"806","2790","c",3,2
"807","2792","c",2,2
"808","2818","c",3,3
"809","2828","c",2,3
"810","2841","c",3,3
"811","2890","c",3,5
"812","2896","c",1,1
"813","2901","c",2,3
"814","2902","c",3,6
"815","2903","c",4,3
"816","2907","c",2,2
"817","2911","c",3,3
"818","2912","c",3,3
"819","2916","c",1,4
"820","2918","c",2,2
"821","2922","c",2,2
"822","2927","c",2,3
"823","2932","c",3,1
"824","2938","c",2,4
"825","2955","c",2,4
"826","2974","c",4,2
"827","2975","c",2,3
"828","2977","c",2,2
"829","2981","c",2,3
"830","3006","c",4,3
"831","3023","c",2,3
"832","3025","c",3,2
"833","3026","c",2,2
"834","3042","c",3,2
"835","3051","c",3,2
"836","3055","c",1,2
"837","3060","c",2,2
"838","3073","c",2,3
"839","3089","c",2,3
"840","3091","c",2,1
"841","3094","c",3,3
"842","3097","c",2,4
"843","3098","c",3,2
"844","3110","c",2,2
"845","3111","c",2,1
"846","3116","c",2,4
"847","3128","c",2,3
"848","3137","c",3,2
"849","3148","c",2,7
"850","3151","c",3,3
"851","3154","c",1,7
"852","3155","c",3,4
"853","3158","c",3,3
"854","3161","c",4,3
"855","3171","c",2,7
"856","3188","c",3,3
"857","3192","c",1,1
"858","3198","c",2,3
"859","3210","c",2,2
"860","3211","c",2,1
"861","3214","c",3,4
"862","3217","c",4,3
"863","3222","c",3,2
"864","3223","c",4,4
"865","3224","c",1,3
"866","3226","b",1,3
"867","3226","c",1,2
"868","3227","b",1,1
"869","3228","b",1,7
"870","3228","c",1,1
"871","3229","b",1,7
"872","3229","c",3,3
"873","3230","b",1,3
"874","3230","c",1,2
"875","3231","b",1,4
"876","3231","c",2,3
"877","3232","b",1,4
"878","3232","c",2,6
"879","3233","b",1,2
"880","3233","c",1,2
"881","3234","b",1,3
"882","3234","c",1,2
"883","3235","b",1,3
"884","3236","b",1,11
"885","3236","c",2,7
"886","3237","b",1,2
"887","3237","c",1,2
"888","3238","b",1,3
"889","3238","c",2,2
"890","3240","b",1,2
"891","3240","c",1,2
"892","3241","b",1,3
"893","3242","b",1,3
"894","3242","c",2,2
"895","3243","b",1,1
"896","3244","b",1,3
"897","3244","c",1,3
"898","3245","b",1,1
"899","3245","c",2,3
"900","3246","b",1,3
"901","3246","c",1,2
"902","3247","b",1,2
"903","3247","c",1,1
"904","3248","b",1,4
"905","3248","c",1,3
"906","3249","b",1,1
"907","3249","c",1,2
"908","3250","b",1,1
"909","3250","c",1,2
"910","3251","b",1,2
"911","3251","c",1,2
"912","3252","b",1,6
"913","3252","c",1,4
"914","3253","b",1,3
"915","3253","c",1,3
"916","3254","b",1,3
"917","3254","c",2,2
"918","3255","b",1,1
"919","3256","b",1,1
"920","3256","c",1,1
"921","3257","b",1,2
"922","3257","c",1,2
"923","3258","b",1,4
"924","3259","b",1,1
"925","3259","c",1,1
"926","3260","b",1,4
"927","3260","c",1,2
"928","3261","b",1,6
"929","3261","c",1,5
"930","3262","b",1,2
"931","3262","c",2,4
"932","3263","b",1,4
"933","3263","c",2,4
"934","3264","b",1,3
"935","3264","c",1,2
"936","3265","b",1,3
"937","3265","c",3,1
"938","3266","b",1,1
"939","3266","c",2,2
"940","3267","b",1,9
"941","3267","c",1,3
"942","3268","b",1,5
"943","3268","c",1,3
"944","3269","b",1,6
"945","3269","c",1,6
"946","3270","b",1,3
"947","3271","b",1,4
"948","3271","c",2,3
"949","3272","b",1,2
"950","3273","b",1,3
"951","3273","c",2,3
"952","3274","b",1,8
"953","3274","c",1,7
"954","3275","b",1,9
"955","3275","c",1,5
"956","3276","b",1,2
"957","3276","c",1,4
"958","3277","b",1,3
"959","3277","c",1,2
"960","3278","b",1,3
"961","3279","b",1,3
"962","3279","c",2,3
"963","3280","b",1,3
"964","3280","c",1,4
"965","3281","b",1,5
"966","3282","b",1,8
"967","3282","c",1,3
"968","3283","b",1,6
"969","3283","c",1,3
"970","3284","b",1,2
"971","3285","b",1,2
"972","3285","c",1,1
"973","3286","b",1,1
"974","3286","c",1,2
"975","3287","b",1,2
"976","3288","b",1,3
"977","3288","c",2,3
"978","3289","b",1,8
"979","3289","c",1,3
"980","3290","b",1,2
"981","3290","c",1,2
"982","3291","b",1,2
"983","3291","c",2,2
"984","3292","b",1,1
"985","3292","c",2,2
"986","3293","b",1,1
"987","3293","c",1,1
"988","3294","b",1,6
"989","3295","b",1,4
"990","3295","c",2,5
"991","3296","b",1,7
"992","3296","c",1,5
"993","3297","b",1,8
"994","3298","b",1,6
"995","3298","c",1,3
"996","3299","b",1,4
"997","3299","c",2,3
"998","3300","b",1,2
"999","3300","c",1,2
"1000","3301","b",1,4
"1001","3301","c",2,2
"1002","3302","b",1,3
"1003","3302","c",2,3
"1004","3303","b",1,6
"1005","3304","b",1,5
"1006","3304","c",3,3
"1007","3305","b",1,3
"1008","3305","c",4,4
"1009","3306","b",1,3
"1010","3306","c",1,1
"1011","3307","b",1,5
"1012","3307","c",1,4
"1013","3308","b",1,7
"1014","3308","c",2,4
"1015","3309","b",1,1
"1016","3310","b",1,1
"1017","3310","c",2,1
"1018","3311","b",1,4
"1019","3311","c",1,2
"1020","3312","b",1,5
"1021","3312","c",2,4
"1022","3313","b",1,11
"1023","3313","c",1,4
"1024","3314","b",1,2
"1025","3314","c",1,2
"1026","3315","b",1,2
"1027","3316","b",1,6
"1028","3316","c",2,4
"1029","3317","b",1,6
"1030","3317","c",1,5
"1031","3318","b",1,5
"1032","3318","c",1,4
"1033","3319","b",1,3
"1034","3319","c",1,3
"1035","3320","b",1,3
"1036","3320","c",1,4
"1037","3321","b",1,1
"1038","3322","b",1,5
"1039","3322","c",1,4
"1040","3323","b",1,5
"1041","3323","c",1,3
"1042","3324","b",1,3
"1043","3324","c",1,2
"1044","3325","b",1,5
"1045","3325","c",1,4
"1046","3326","b",1,4
"1047","3326","c",2,3
"1048","3327","b",1,1
"1049","3328","b",1,3
"1050","3328","c",1,2
"1051","3329","b",1,5
"1052","3329","c",1,3
"1053","3330","b",1,4
"1054","3330","c",2,2
"1055","3331","b",1,3
"1056","3331","c",2,1
"1057","3332","b",1,2
"1058","3332","c",1,2
"1059","3333","b",1,3
"1060","3333","c",1,3
"1061","3334","b",1,2
"1062","3334","c",1,1
"1063","3335","b",1,6
"1064","3335","c",1,5
"1065","3336","b",1,5
"1066","3337","b",1,2
"1067","3337","c",1,2
"1068","3338","b",1,4
"1069","3338","c",1,6
"1070","3339","b",1,5
"1071","3339","c",1,4
"1072","3340","b",1,5
"1073","3340","c",2,3
"1074","3341","b",1,11
"1075","3342","b",1,2
"1076","3342","c",1,2
"1077","3343","b",1,1
"1078","3343","c",1,1
"1079","3344","b",1,1
"1080","3344","c",1,1
"1081","3345","b",1,4
"1082","3345","c",2,3
"1083","3346","b",1,5
"1084","3346","c",1,3
"1085","3347","b",1,7
"1086","3348","b",1,6
"1087","3348","c",2,2
"1088","3349","b",1,1
"1089","3349","c",1,2
"1090","3350","b",1,4
"1091","3350","c",1,3
"1092","3351","b",1,4
"1093","3351","c",2,1
"1094","3352","b",1,1
"1095","3352","c",2,1
"1096","3353","b",1,3
"1097","3353","c",1,3
"1098","3354","b",1,3
"1099","3354","c",1,5
"1100","3355","b",1,8
"1101","3355","c",1,1
"1102","3356","b",1,5
"1103","3356","c",1,3
"1104","3357","b",1,1
"1105","3357","c",1,1
"1106","3358","b",1,1
"1107","3358","c",1,1
"1108","3359","b",1,2
"1109","3359","c",2,3
"1110","3360","b",1,3
"1111","3360","c",1,3
"1112","3361","b",1,5
"1113","3362","b",1,3
"1114","3363","b",1,2
"1115","3363","c",1,3
"1116","3364","b",1,7
"1117","3364","c",1,4
"1118","3365","b",1,2
"1119","3365","c",1,2
"1120","3366","b",1,2
"1121","3366","c",2,1
"1122","3367","b",1,4
"1123","3367","c",2,3
"1124","3368","b",1,5
"1125","3368","c",3,4
"1126","3369","b",1,5
"1127","3369","c",1,3
"1128","3370","b",1,3
"1129","3370","c",2,3
"1130","3371","b",1,1
"1131","3371","c",4,1
"1132","3372","b",1,4
"1133","3372","c",1,2
"1134","3373","b",1,2
"1135","3373","c",3,2
"1136","3374","b",1,3
"1137","3374","c",1,1
"1138","3375","b",1,3
"1139","3375","c",2,2
"1140","3376","b",1,2
"1141","3376","c",2,3
"1142","3377","b",1,3
"1143","3377","c",2,1
"1144","3378","b",1,4
"1145","3378","c",2,6
"1146","3379","b",1,4
"1147","3379","c",2,4
"1148","3380","b",1,3
"1149","3380","c",1,3
"1150","3381","b",1,3
"1151","3381","c",1,2
"1152","3382","b",1,1
"1153","3382","c",1,2
"1154","3383","b",1,1
"1155","3384","b",1,3
"1156","3385","b",1,1
"1157","3385","c",1,1
"1158","3386","b",1,3
"1159","3386","c",2,4
"1160","3387","b",1,4
"1161","3387","c",1,2
"1162","3388","b",1,1
"1163","3388","c",1,2
"1164","3389","b",1,3
"1165","3389","c",2,3
"1166","3390","b",1,8
"1167","3391","b",1,2
"1168","3391","c",2,4
"1169","3392","b",1,2
"1170","3392","c",2,2
"1171","3393","b",1,3
"1172","3393","c",2,2
"1173","3394","b",1,2
"1174","3394","c",2,2
"1175","3395","b",1,1
"1176","3395","c",1,3
"1177","3396","b",1,4
"1178","3396","c",1,2
"1179","3397","b",1,5
"1180","3397","c",2,3
"1181","3398","b",1,3
"1182","3398","c",1,3
"1183","3399","b",1,2
"1184","3399","c",1,4
"1185","3400","b",1,11
"1186","3400","c",1,7
"1187","3401","b",1,9
"1188","3401","c",1,3
